date,sentiment,fgi_value,total_trades,total_pnl,net_pnl,avg_trade_size,total_volume,active_traders,avg_win_rate,avg_long_short_ratio
2023-05-01,Greed,63.0,3,0.0,0.0,159.0,477.0,1,,
2023-12-05,Extreme Greed,75.0,9,0.0,-12.501455,5556.203333333334,50005.83,1,,3.5
2023-12-14,Greed,72.0,11,-205.43473700000007,-233.73556800000003,10291.213636363636,113203.35,1,0.6666666666666666,1.75
2023-12-15,Greed,70.0,2,-24.632033999999997,-27.284523,5304.975,10609.95,1,0.0,0.0
2023-12-16,Greed,67.0,3,0.0,-3.8371890000000004,5116.256666666667,15348.77,1,,
2023-12-17,Greed,73.0,14,304.982785,275.91328599999997,8305.572857142857,116278.02,1,0.6363636363636364,
2023-12-18,Greed,65.0,2,0.0,-7.791045,15582.089999999998,31164.179999999997,1,,
2023-12-19,Greed,73.0,15,1000.5386120000001,977.638016,6106.827333333334,91602.41,1,1.0,
2023-12-20,Greed,74.0,18,162.732282,127.323095,7868.710555555556,141636.79,1,1.0,
2023-12-21,Greed,70.0,49,537.211402,505.902933,2555.795306122449,125233.97,1,0.9629629629629629,
2023-12-22,Greed,74.0,10,141.832675,119.61410899999998,8887.428,88874.28,1,1.0,
2023-12-23,Greed,70.0,13,146.936704,127.327149,6033.711538461538,78438.25,1,1.0,
2023-12-24,Greed,71.0,39,1008.619956,907.881241,10332.177948717948,402954.94,1,0.8823529411764706,4.571428571428571
2023-12-25,Greed,73.0,3,-245.081348,-260.068473,19982.836666666666,59948.51,1,0.0,
2023-12-27,Greed,73.0,28,-704.8892269999999,-747.741974,6121.823571428571,171411.06,1,0.3076923076923077,
2023-12-28,Greed,73.0,23,-970.730876,-995.760176,4352.923913043478,100117.25,1,0.0,
2023-12-29,Greed,65.0,50,508.92214299999995,366.532242,11391.1944,569559.72,1,0.75,2.8461538461538463
2023-12-30,Greed,68.0,52,354.998648,179.36112199999997,13510.58096153846,702550.21,1,0.696969696969697,2.0588235294117645
2024-01-01,Greed,65.0,18,-129.53146,-195.59132699999998,14679.973888888888,264239.52999999997,1,0.16666666666666666,3.5
2024-01-02,Greed,71.0,17,783.979116,753.64194,7138.1611764705885,121348.74,1,0.8888888888888888,0.0
2024-01-03,Greed,70.0,67,866.015507,767.390696,5888.050149253731,394499.36,1,0.8,
2024-01-04,Greed,68.0,5,-67.60364,-92.551772,19958.508,99792.54000000001,1,0.0,
2024-01-05,Greed,72.0,66,164.141565,-261.844074,25817.31303030303,1703942.66,1,0.5652173913043478,1.75
2024-01-06,Greed,70.0,22,135.58166400000002,60.95132200000004,13569.154545454547,298521.4,1,0.8333333333333334,6.333333333333333
2024-01-07,Greed,71.0,97,-835.681235,-1097.893699,10812.887216494846,1048850.06,1,0.24324324324324326,4.388888888888889
2024-01-08,Greed,71.0,128,-269.874439,-650.4875030000002,11894.159609375,1522452.43,1,0.47761194029850745,1.7234042553191489
2024-01-09,Extreme Greed,76.0,70,-826.349863,-1030.3627910000002,12429.313857142857,870051.97,1,0.6428571428571429,2.5
2024-01-10,Greed,73.0,193,-1517.091342,-1951.136207,10660.515440414507,2057479.48,1,0.4939759036144578,1.1444444444444444
2024-01-11,Extreme Greed,76.0,21,-164.08950099999998,-239.95667199999997,18353.99986842105,305314.1,2,0.5555555555555556,1.1111111111111112
2024-01-12,Greed,71.0,7,-1925.519024,-1974.999751,28583.181428571428,200082.27,1,0.0,
2024-01-15,Neutral,52.0,14,152.85358,140.200868,5035.616222222222,50636.1,2,1.0,
2024-01-16,Greed,64.0,9,-2299.1714580000003,-2316.4907670000002,14114.381666666668,116427.33,2,0.5,
2024-01-17,Greed,60.0,53,813.2741110000001,653.566505,15110.019433962265,800831.03,1,0.5789473684210527,1.12
2024-01-18,Greed,63.0,46,68.93319,-23.724710999999996,9231.120217391304,424631.52999999997,1,0.3333333333333333,0.84
2024-01-19,Neutral,51.0,48,-385.419235,-478.471103,5557.927393162393,428428.97,2,0.23369565217391303,1.8333333333333335
2024-01-20,Neutral,52.0,106,-146.57487000000003,-414.097453,10095.193490566038,1070090.51,1,0.46875,1.4090909090909092
2024-01-21,Greed,56.0,11,266.58114600000005,240.79871599999998,9375.43090909091,103129.74,1,0.6,0.5714285714285714
2024-01-22,Greed,55.0,85,1375.640959,1308.162691,4398.632640765765,337878.99,2,0.5692307692307692,1.4333333333333331
2024-01-23,Neutral,50.0,45,-369.2447299999998,-454.96929999999986,9211.531777777778,414518.93000000005,1,0.55,1.5
2024-01-24,Neutral,48.0,68,-2808.353815,-3036.12491,14192.42044117647,965084.59,1,0.25,1.5185185185185186
2024-01-25,Neutral,52.0,6,-3093.6293849999997,-3110.270917,11094.355000000001,66566.13,1,0.0,
2024-01-26,Neutral,49.0,5,90.2,89.755765,2733.518333333333,11773.21,2,1.0,
2024-01-28,Neutral,54.0,11,-2478.06972,-2477.707544,1646.2754545454545,18109.03,1,0.0,
2024-01-29,Greed,55.0,74,486.562542,383.299937,3379.293611111111,414208.18,2,1.0,1.5714285714285714
2024-01-30,Greed,61.0,49,-173.65419100000003,-273.90700100000004,8183.905714285715,401011.38,1,0.2631578947368421,0.6333333333333333
2024-01-31,Greed,60.0,859,-799.840817,-2349.252292,7340.683504074505,6305647.13,1,0.5298165137614679,0.9002217294900222
2024-02-01,Greed,63.0,6,0.0,-0.5020439999999999,334.69666666666666,2008.18,1,,
2024-02-02,Greed,63.0,42,456.423473,364.853837,11292.343571428572,474278.43,1,0.6190476190476191,2.0
2024-02-03,Greed,60.0,56,223.30918699999998,113.64683800000003,10782.5,603820.0,1,0.5,0.47368421052631576
2024-02-04,Greed,60.0,35,47.62389499999999,-2.9029850000000166,5805.358,203187.53,1,0.32142857142857145,1.9166666666666667
2024-02-05,Greed,60.0,72,-33.45419400000003,-199.00365900000008,10697.198055555556,770198.26,1,0.4375,1.88
2024-02-06,Greed,64.0,1088,-215.615907,-1204.222904,7396.280707720588,8047153.41,1,0.3422562141491396,0.9579524680073126
2024-02-07,Greed,62.0,15,241.24212,240.902427,450.582,6758.73,1,1.0,0.5
2024-02-08,Greed,66.0,10,770.756024,767.7531369999999,2605.112,26051.12,1,1.0,0.6666666666666666
