date,Account,sentiment,fgi_value,total_trades,total_pnl,net_pnl,total_fees,avg_trade_size_usd,total_volume_usd,wins,losses,closing_trades,num_longs,num_shorts,max_trade_size,unique_coins,win_rate,long_short_ratio,leverage_proxy,sentiment_binary,leverage_segment,frequency_segment,performance_segment
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,63.0,3,0.0,0.0,0.0,159.0,477.0,0,0,0,3,0,183.53,1,,,1.1542767295597485,Greed,Low Leverage,Infrequent,Net Loser
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,75.0,9,0.0,-12.501455,12.501455,5556.203333333334,50005.83,0,0,0,7,2,24370.62,2,,3.5,4.386200169060287,Greed,Low Leverage,Infrequent,Inconsistent Winner
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,72.0,11,-205.43473700000007,-233.73556800000003,28.300831,10291.213636363636,113203.35,4,2,6,7,4,25252.56,4,0.6666666666666666,1.75,2.4537980545628733,Greed,Low Leverage,Infrequent,Inconsistent Winner
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,70.0,2,-24.632034,-27.284523,2.652489,5304.975,10609.95,0,2,2,0,2,6667.75,1,0.0,0.0,1.2568862247230193,Greed,Low Leverage,Infrequent,Inconsistent Winner
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,67.0,3,0.0,-3.837189,3.837189,5116.256666666667,15348.77,0,0,0,3,0,6036.19,1,,,1.1798059388472169,Greed,Low Leverage,Infrequent,Inconsistent Winner
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,73.0,14,304.982785,275.913286,29.069499,8305.572857142857,116278.02,7,4,11,14,0,30572.93,3,0.6363636363636364,,3.68101400419443,Greed,Low Leverage,Infrequent,Inconsistent Winner
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,65.0,2,0.0,-7.791045,7.791045,15582.089999999998,31164.18,0,0,0,2,0,31146.76,1,,,1.9988820498405544,Greed,Low Leverage,Infrequent,Inconsistent Winner
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,73.0,15,1000.538612,977.638016,22.900596,6106.827333333334,91602.41,10,0,10,15,0,27346.85,2,1.0,,4.478078142267218,Greed,Low Leverage,Infrequent,Inconsistent Winner
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,74.0,18,162.732282,127.323095,35.409187,7868.710555555556,141636.79,8,0,8,18,0,23605.58,2,1.0,,2.999929891096797,Greed,Low Leverage,Infrequent,Inconsistent Winner
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,70.0,49,537.211402,505.902933,31.308469,2555.795306122449,125233.97,26,1,27,49,0,6308.51,1,0.9629629629629628,,2.468315825171078,Greed,Low Leverage,Infrequent,Inconsistent Winner
